#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-8-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00346668 seconds
Distributing the actor graph took: 39.6762 seconds
Added actors in: 0.250484 seconds.
Initialized connections of actors in: 0.0454677 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 27 | (2) 1005 | (3)2.68657/100 | (4) 43, 43 | (5) 150.511 | (6) 12.6881 | (7) 0.000158991 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 90.5556/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (62980, 62980) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1396.84 | (25) (33.575, 67-70) | (26) 13
Output number: 1, Rank-19: (1) 34 | (2) 1006 | (3)3.37972/100 | (4) 44, 44 | (5) 135.609 | (6) 19.1382 | (7) 0.000287195 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85.5556/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (63615, 63615) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1324.71 | (25) (34.6366, 70-59) | (26) 929
Output number: 1, Rank-21: (1) 8 | (2) 1741 | (3)0.459506/100 | (4) 98, 98 | (5) 3.4036 | (6) 73.5988 | (7) 0.000288775 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (98, 98) | (18) X | (19) (94249, 94249) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 34.2678 | (25) (0.40008, 42-70) | (26) 8249
Output number: 1, Rank-24: (1) 0 | (2) 264 | (3)0/100 | (4) 89, 89 | (5) 3.33458 | (6) 74.6269 | (7) 0.000155915 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (89, 89) | (18) X | (19) (91420, 91420) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.9789 | (25) (3.03402, 34-42) | (26) 165250
Output number: 1, Rank-25: (1) 0 | (2) 24 | (3)0/100 | (4) 95, 95 | (5) 3.52546 | (6) 75.1645 | (7) 0.000194816 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.3333/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (97764, 97764) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.242 | (25) (0.50292, 26-53) | (26) 159361
Output number: 1, Rank-26: (1) 5 | (2) 1747 | (3)0.286205/100 | (4) 96, 96 | (5) 3.39655 | (6) 75.2371 | (7) 0.000199293 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.3333/100 | (15) 0 | (17) (96, 96) | (18) X | (19) (94751, 94751) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.4347 | (25) (0.39663, 47-57) | (26) 167742
Output number: 1, Rank-27: (1) 0 | (2) 1579 | (3)0/100 | (4) 95, 95 | (5) 3.51352 | (6) 72.6019 | (7) 0.000191762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (96740, 96740) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.8744 | (25) (0.45482, 32-54) | (26) 166078
Output number: 1, Rank-0: (1) 0 | (2) 18 | (3)0/100 | (4) 95, 95 | (5) 3.63314 | (6) 70.7556 | (7) 0.000185173 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (101010, 101010) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.4787 | (25) (0.4292, 1-39) | (26) 146332
Output number: 1, Rank-1: (1) 0 | (2) 31 | (3)0/100 | (4) 92, 92 | (5) 3.49714 | (6) 74.0096 | (7) 0.000291538 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (96766, 96766) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.7 | (25) (0.4748, 10-44) | (26) 154506
Output number: 1, Rank-2: (1) 0 | (2) 33 | (3)0/100 | (4) 93, 93 | (5) 3.47213 | (6) 73.475 | (7) 0.000215617 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (97003, 97003) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.1175 | (25) (0.44194, 19-47) | (26) 159455
Output number: 1, Rank-3: (1) 0 | (2) 18 | (3)0/100 | (4) 93, 93 | (5) 3.53735 | (6) 75.0758 | (7) 0.000145409 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.3333/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (97191, 97191) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.7588 | (25) (0.48965, 17-56) | (26) 156410
Output number: 1, Rank-4: (1) 1 | (2) 45 | (3)2.22222/100 | (4) 95, 95 | (5) 3.52094 | (6) 72.3767 | (7) 0.000135996 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (97158, 97158) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.1138 | (25) (0.50553, 27-62) | (26) 7875
Output number: 1, Rank-6: (1) 0 | (2) 17 | (3)0/100 | (4) 95, 95 | (5) 3.55683 | (6) 73.5221 | (7) 0.000158713 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (99130, 99130) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.655 | (25) (0.45446, 14-60) | (26) 161181
Output number: 1, Rank-7: (1) 9 | (2) 1738 | (3)0.517837/100 | (4) 100, 100 | (5) 3.58107 | (6) 72.6775 | (7) 0.000189542 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (100, 100) | (18) X | (19) (96863, 96863) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 36.0291 | (25) (0.45181, 32-76) | (26) 2840
Output number: 1, Rank-8: (1) 1 | (2) 1128 | (3)0.0886525/100 | (4) 95, 95 | (5) 3.43954 | (6) 72.5726 | (7) 0.000164086 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (95704, 95704) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.9374 | (25) (0.37741, 28-66) | (26) 8289
Output number: 1, Rank-9: (1) 1 | (2) 1074 | (3)0.0931099/100 | (4) 92, 92 | (5) 3.40506 | (6) 72.2117 | (7) 0.000121539 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (92794, 92794) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.7956 | (25) (0.42946, 23-77) | (26) 1659
Output number: 1, Rank-10: (1) 0 | (2) 92 | (3)0/100 | (4) 92, 92 | (5) 3.38078 | (6) 75.3591 | (7) 0.000205812 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.3333/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (95175, 95175) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 32.3194 | (25) (0.44215, 1-68) | (26) 1
Output number: 1, Rank-11: (1) 0 | (2) 48 | (3)0/100 | (4) 92, 92 | (5) 3.46753 | (6) 73.1201 | (7) 0.000227099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (95734, 95734) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.4895 | (25) (0.44192, 11-61) | (26) 3345
Output number: 1, Rank-12: (1) 1 | (2) 95 | (3)1.05263/100 | (4) 91, 91 | (5) 3.34938 | (6) 72.6893 | (7) 0.000131465 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (93098, 93098) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 31.8865 | (25) (0.43363, 11-77) | (26) 33132
Output number: 1, Rank-13: (1) 0 | (2) 73 | (3)0/100 | (4) 93, 93 | (5) 3.46648 | (6) 72.7241 | (7) 0.000184012 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (96093, 96093) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.1451 | (25) (0.38223, 12-61) | (26) 5722
Output number: 1, Rank-14: (1) 5 | (2) 1450 | (3)0.344828/100 | (4) 97, 97 | (5) 3.42008 | (6) 76.4352 | (7) 0.000233885 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (97, 97) | (18) X | (19) (94919, 94919) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 33.8431 | (25) (0.48703, 44-50) | (26) 167925
Output number: 1, Rank-15: (1) 27 | (2) 1738 | (3)1.55351/100 | (4) 120, 120 | (5) 16.5977 | (6) 64.6973 | (7) 0.000167866 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45/100 | (15) 0 | (17) (120, 120) | (18) X | (19) (111520, 111520) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 271.075 | (25) (32.9688, 56-57) | (26) 10238
Output number: 1, Rank-5: (1) 0 | (2) 30 | (3)0/100 | (4) 91, 91 | (5) 3.47803 | (6) 71.7032 | (7) 0.000105352 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (95955, 95955) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 32.3296 | (25) (0.53949, 2-47) | (26) 154031
Output number: 1, Rank-23: (1) 57 | (2) 1655 | (3)3.44411/100 | (4) 115, 115 | (5) 108.798 | (6) 27.3261 | (7) 8.1099e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 75.5556/100 | (15) 0 | (17) (115, 115) | (18) X | (19) (119177, 119177) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 1296.97 | (25) (33.2597, 58-72) | (26) 1
Output number: 1, Rank-17: (1) 30 | (2) 616 | (3)4.87013/100 | (4) 46, 46 | (5) 143.791 | (6) 15.3235 | (7) 0.000166318 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 88.3333/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (58884, 58884) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 1311.54 | (25) (33.196, 63-63) | (26) 1
